id,puzzle_data,solution_data,difficulty_level,techniques_used,clue_count
16,090005406020001500570000020000040030000010000010803065002058000745002600009304002,893275416624931578571486329958647231236519847417823965362758194745192683189364752,3,"box_line_reduction,hidden_pairs,hidden_singles,naked_singles,pointing_pairs",30
17,600000400030000001210000098100297830900050010008000000000500106041300589096700000,689172453437985261215634798164297835972853614358461927823549176741326589596718342,3,"hidden_singles,hidden_triples,naked_singles,pointing_pairs",30
18,000000015080000700901000040030071029002360180008009600007000000850210007109004002,643987215285143796971652348436871529792365184518429673327598461854216937169734852,3,"hidden_singles,naked_singles,pointing_pairs",30
19,800207905907080600020000800630400709000720000005030000400003002008002000000641508,863217945947385621521964873632458719184729356795136284456873192318592467279641538,4,"hidden_singles,naked_singles,x_wing,y_wing",30
20,400000700001090050090400003040310006906004000503000008030509007180200600700160090,425683719361792854897451263248315976976824531513976428632549187189237645754168392,4,"naked_singles,x_wing",30
21,300470069200013700000209030890007005070050000502001000100096003000100080007000601,318475269269813754754269138891627345673954812542381976185796423936142587427538691,4,"naked_singles,y_wing",30
22,090456020020003000400002310200500100019000000080060700050600270800000030032008046,391456827728913654465872319247589163619327485583164792954631278876245931132798546,3,"hidden_singles,naked_singles,pointing_pairs",30
23,000780019009360050780900200008610000100405620500000000043006072000100306000000500,365782419219364857784951263428619735197435628536278941843596172952147386671823594,3,"hidden_singles,hidden_triples,naked_singles,pointing_pairs",30
24,010060700500080490003000605040028160000900040600150208004000827100007900000800000,418569732562783491973412685745328169821976543639154278354691827186237954297845316,4,"naked_singles,x_wing,y_wing",30
25,000004002070002500082000090190080000230061008060000403049700000000040050608219040,913574682476892531582136794194387265235461978867925413349758126721643859658219347,3,"hidden_singles,naked_singles,naked_triples",30
26,800060010056000000073200460900048000320900004040100079000081005600092100000034000,892463517456817932173259468967348251321975684548126379234681795685792143719534826,4,"naked_singles,y_wing",30
27,000905400016402000000060000009007800260098000783540090007020019900600053001000000,378915426516472938492863571149237865265198347783546192857324619924681753631759284,3,"hidden_singles,naked_singles,pointing_pairs",30
28,000000000107035800509700300400080500970203000060050090300002010000000203084371006,638129475147635829529748361412986537975213648863457192356892714791564283284371956,4,"naked_singles,y_wing",30
29,007000030020009000000380029003708900400000700000403016004900201081230060060800300,897126435326549178145387629653718942418692753279453816734965281981234567562871394,4,"hidden_singles,naked_singles,y_wing",30
30,640000970500006300009402000706000500000008000001600000907065032000200687060070109,642583971518796324379412865726341598435928716891657243987165432154239687263874159,4,"naked_singles,y_wing",30
31,010054080030000000004800070000000010063070040800300697000016039050430700040907500,612754983738169254594823176475698312963271845821345697287516439159432768346987521,4,"hidden_singles,naked_singles,y_wing",30
32,009050000400007500020004000002500487000600000108040005704061090200090070693400100,379156248416827539825934716962513487547689321138742965754261893281395674693478152,3,"naked_singles,pointing_pairs",30
33,080060390700000006090000570070804200002009031069001000608000900020900003905200600,184567392753492816296318574571834269842659731369721485638145927427986153915273648,3,"hidden_singles,naked_pairs,naked_singles,pointing_pairs",30
34,020006900061700003700050261000002190080000007102800050098200700007000000654010000,825136974461729583739458261543672198986541327172893456398264715217385649654917832,4,"naked_singles,y_wing",30
35,807300020163000007029500001000950700700000002006001038070060000090140000600807040,857319426163482957429576381312958764785634192946721538574263819298145673631897245,4,"naked_singles,x_wing,y_wing",30
36,007400090006750002050080034070590000380210009009064000700900120000800403000005000,827431596436759812951682734672598341384217659519364287768943125195826473243175968,4,"naked_singles,y_wing",30
37,100500037400007600080023410000050002005002900010090003046200000000000100301869700,169548237423917658587623419934156872675382941218794563846271395792435186351869724,4,"naked_singles,y_wing",30
38,070430065506020009830690000003060700002870030040200000000000420420300910090000000,279431865516728349834695271183564792652879134947213586361957428425386917798142653,3,"naked_singles,pointing_pairs",30
39,000000850810000094005080006008000173000860020004700609000500010060127008073400000,237649851816375294945281736628954173791863425354712689482536917569127348173498562,4,"naked_singles,y_wing",30
40,100200057002060300700000290080020000004000901307001000003600100015080006200704805,139248657542967318768135294981426573624573981357891462873652149415389726296714835,3,"box_line_reduction,hidden_singles,naked_singles",30
41,600042000090007600012009008270463900006000300350080020000100200800026001007050000,638542179594817632712639548271463985486295317359781426963178254845326791127954863,4,"hidden_singles,naked_singles,x_wing,y_wing",30
42,000402000000610800010378024600000790304900601009020430000243000100005000002000060,897452316243619875516378924681534792324987651759126438965243187138765249472891563,4,"naked_singles,pointing_pairs,y_wing",30
43,020000400080070200000802075008067050007103800060480010009048007070000000803050001,725631498981574263634892175418967352597123846362485719159248637276319584843756921,3,"naked_singles,pointing_pairs",30
44,084000060530081070100002580003040000000263700000007600790006140001054000040000007,284975361539681472167432589673148925958263714412597638795826143321754896846319257,3,"hidden_singles,naked_singles,pointing_pairs",30
45,680000000009000005005490000003520800000603500200840103030000016506002000821004700,682735941419286375375491682163527894948613527257849163734958216596172438821364759,3,"hidden_singles,naked_singles,pointing_pairs",30
46,098020500723056908006000002000070000082000050600208000801030097000700020070040003,498327561723156948516984372134675289982413756657298134861532497349761825275849613,3,"hidden_singles,naked_singles,pointing_pairs",30
47,800050360000007000045030108000021600913700200070900030020000000089000000030082915,892154367361897542745236198458321679913768254276945831524619783189573426637482915,4,"naked_singles,y_wing",30
48,080000003000760000200100086000070004170086009600310500800601907007090002009020001,786245193931768425245139786358972614174586239692314578823651947517493862469827351,4,"naked_singles,x_wing,y_wing",30
49,000057290034000100000831467000080002108000000020009000000270605002004070470900800,816457293734692158259831467947386512168725934523149786391278645682514379475963821,4,"naked_singles,y_wing",30
50,400307090003502700201406305500000010000000007048000500014000020307000809050030001,465387192983512764271496385532764918196853247748129536814975623327641859659238471,4,"naked_singles,y_wing",30
